year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,genuine,0.00001985929192471758,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1958,original,0.00009788737872717945,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1959,original,0.00009610795382584969,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1960,original,0.00009644764039161424,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1961,original,0.00009993959647269096,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1962,original,0.00009705078014303481,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1963,original,0.00009559745844166939,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1964,original,0.00009479190782570035,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1965,original,0.00009255918123085571,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1966,original,0.00009154722987906455,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1967,original,0.00008979287039383166,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1968,original,0.00009347395573294781,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1969,original,0.00009322200949223036,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1970,original,0.00009246579293603271,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1971,original,0.00009428667621637354,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1972,original,0.00009313877052010214,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1973,original,0.00009107159353470562,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1974,original,0.00009042517474232292,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1975,original,0.00009053842967025882,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1976,original,0.00008832896262504775,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1977,original,0.00008968737282837036,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1978,original,0.00008785798240316597,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1979,original,0.00008962637876196167,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1980,original,0.00008985409126840982,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1981,original,0.00009112589640528079,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1982,original,0.0000904440169629539,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1983,original,0.00009110370485543307,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1984,original,0.00009236942470020743,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1985,original,0.0000942533185722752,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1986,original,0.00009524094891290302,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1987,original,0.00009366156800832276,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1988,original,0.00009457117798042022,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1989,original,0.00009436965759213045,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1990,original,0.00009578123133006933,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1991,original,0.00009312414977098726,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1992,original,0.00009713499067322273,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1993,original,0.00009916353206820133,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1994,original,0.00010034635245642978,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1995,original,0.00009254166023919125,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1996,original,0.0000921381675903915,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1997,original,0.00009358824820606543,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1998,original,0.00009118216179106187,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1999,original,0.00009313569528478227,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2000,original,0.00009329154630869502,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2001,original,0.00009232498136471645,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2002,original,0.00009022536045170948,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2003,original,0.00009409546840812716,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2004,original,0.00009516912742676964,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2005,original,0.00009552218771741172,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2006,original,0.000096861708046167,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2007,original,0.00009288947969908132,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2008,original,0.00009246125498927477,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2009,original,0.00008990976453737004,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2010,original,0.00008890961568149003,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2011,original,0.00008308416912822247,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2012,original,0.00008252617944942003,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2013,original,0.00008502421890320758,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2014,original,0.00007931384207067807,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2015,original,0.00008104971659178214,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2016,original,0.00008356830620806499,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2017,original,0.00007913698539914471,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2018,original,0.0000818956366169521,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
2019,original,0.00008123765447112796,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original status; very broad and sense-noisy
1800,originality,0.0000022832418671292487,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1801,originality,0.000002203680601553515,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1802,originality,0.0000019933951662665095,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1803,originality,0.000002269941159482869,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1804,originality,0.000002000361444487453,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1805,originality,0.000002740843464854592,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1806,originality,0.000002400344357722517,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1807,originality,0.0000025091303670343734,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1808,originality,0.000002340742510931193,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1809,originality,0.0000023543063338848924,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1810,originality,0.000002131147703199332,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1811,originality,0.000002317360917380995,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1812,originality,0.0000016402898701528557,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1813,originality,0.0000022747181374072056,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1814,originality,0.000002814285131158556,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1815,originality,0.0000028485637049158186,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1816,originality,0.000001870504954482044,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1817,originality,0.0000032036971111537582,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1818,originality,0.00000365553033532251,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1819,originality,0.0000032880053495443207,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1820,originality,0.000003252124781916166,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1821,originality,0.000003292861123327384,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1822,originality,0.000003428546417438838,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1823,originality,0.0000032980798829740365,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1824,originality,0.000003764513394344249,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1825,originality,0.0000036449725051568294,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1826,originality,0.0000029465046083032576,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1827,originality,0.000003633987095241764,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1828,originality,0.000003685218287863279,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1829,originality,0.0000038852095016750354,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1830,originality,0.000004189209196425736,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1831,originality,0.000003527179428530758,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1832,originality,0.0000023696992386135207,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1833,originality,0.0000035940651921251288,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1834,originality,0.000003638509824099856,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1835,originality,0.000004126796392611709,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1836,originality,0.000003250755470141087,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1837,originality,0.000003994351072122981,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1838,originality,0.0000037964236820897668,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1839,originality,0.0000037429299766245094,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1840,originality,0.0000032103544649331184,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1841,originality,0.000003777830404061433,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1842,originality,0.000004003973904431746,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1843,originality,0.000003737014957039264,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1844,originality,0.000003944166719449527,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1845,originality,0.0000036609825122546624,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1846,originality,0.000003650144879685513,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1847,originality,0.000004063723596736679,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1848,originality,0.000003925064548049306,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1849,originality,0.0000041298399855449475,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1850,originality,0.0000040316292828634914,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1851,originality,0.000004171606919456394,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1852,originality,0.000004585609688412262,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1853,originality,0.000003769058384506252,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1854,originality,0.00000410984564336303,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1855,originality,0.000004023714319068006,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1856,originality,0.00000415618349425273,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1857,originality,0.000003984020845670955,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1858,originality,0.000004206110227222837,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1859,originality,0.000004162474545488237,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1860,originality,0.0000036197502462087527,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1861,originality,0.000003764122105565093,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1862,originality,0.0000036865744466041406,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1863,originality,0.0000039241667479927855,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1864,originality,0.0000035184197457738264,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1865,originality,0.0000036279185309240347,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1866,originality,0.000003564849682113902,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1867,originality,0.0000036421645805972958,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1868,originality,0.000003245578568566998,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1869,originality,0.00000362112702845252,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1870,originality,0.0000034687399041999356,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1871,originality,0.0000037435561512921822,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1872,originality,0.000003456212772867673,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1873,originality,0.0000036290291474117,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1874,originality,0.000003884422657307596,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1875,originality,0.000003819659473158765,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1876,originality,0.0000035836386125254194,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1877,originality,0.0000035743346025185474,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1878,originality,0.000003859882220069721,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1879,originality,0.000003956373564761861,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1880,originality,0.0000037898963238802708,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1881,originality,0.000003530156432063336,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1882,originality,0.0000035624267322731384,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1883,originality,0.0000034244651327952624,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1884,originality,0.0000035118499663866487,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1885,originality,0.0000035910360765001315,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1886,originality,0.000003543001525940781,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1887,originality,0.000003353429967489774,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1888,originality,0.0000033287462493092335,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1889,originality,0.0000032758892505313497,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1890,originality,0.0000036415230795228126,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1891,originality,0.000003661341697380749,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1892,originality,0.000003291264434324148,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1893,originality,0.000003378666452391599,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1894,originality,0.0000033470816855896146,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1895,originality,0.0000031784962786218784,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1896,originality,0.0000031740576815764143,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1897,originality,0.000003237079150508748,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1898,originality,0.000003289913395931876,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1899,originality,0.0000031225631289544253,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1900,originality,0.0000029392654568027865,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1901,originality,0.0000027088601672886625,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1902,originality,0.000003081206891408783,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1903,originality,0.0000028234770290680444,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1904,originality,0.000002884211209419618,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1905,originality,0.0000028842869390643955,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1906,originality,0.0000025749888941106747,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1907,originality,0.0000026572510378741754,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1908,originality,0.000002578982336132185,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1909,originality,0.000002364011280064915,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1910,originality,0.000002959763389043246,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1911,originality,0.000002936556029453641,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1912,originality,0.0000022836588851049555,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1913,originality,0.000002277405620532136,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1914,originality,0.0000020684552293204206,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1915,originality,0.0000020739837367500513,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1916,originality,0.000002343253864722783,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1917,originality,0.000002232280809977283,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1918,originality,0.0000018863210939912278,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1919,originality,0.0000020076721440887013,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1920,originality,0.0000022392911098734203,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1921,originality,0.0000021636558145132767,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1922,originality,0.000002168249604750372,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1923,originality,0.0000023243782472093244,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1924,originality,0.0000023730487406226075,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1925,originality,0.0000023901835959350137,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1926,originality,0.0000027158349773515056,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1927,originality,0.0000026849337224632563,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1928,originality,0.0000024202809569828787,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1929,originality,0.0000026020368473211875,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1930,originality,0.000002644581904576171,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1931,originality,0.00000228970340288015,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1932,originality,0.0000021460401029571585,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1933,originality,0.000002060862449582146,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1934,originality,0.0000021241161896057292,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1935,originality,0.0000020460692287116444,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1936,originality,0.000002024160744795722,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1937,originality,0.0000021488367618616167,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1938,originality,0.000002037983293234902,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1939,originality,0.0000017850434623767342,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1940,originality,0.00000192624401051944,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1941,originality,0.0000016934498567877654,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1942,originality,0.0000015809214541917527,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1943,originality,0.0000016053175997399194,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1944,originality,0.0000017217352183962475,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1945,originality,0.0000016515388399085396,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1946,originality,0.0000018004170456720203,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1947,originality,0.0000019307249203848187,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1948,originality,0.0000017900341653387386,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1949,originality,0.0000017724938228269593,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1950,originality,0.0000019047001114103068,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1951,originality,0.000001919537623962242,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1952,originality,0.0000018508414427742537,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1953,originality,0.0000017769063518358053,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1954,originality,0.0000019367316816953917,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1955,originality,0.0000018216100468038121,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1956,originality,0.0000018063969395853974,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1957,originality,0.0000017976271298181246,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1958,originality,0.0000018950708877696343,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
1959,originality,0.00000194626936966813,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,authorship/originality pressure around reproducibility
