year,term,value,value_per_million,query_group,semantic_domain,narrative_role,source,corpus,smoothing,case_sensitive
1952,artificial sentiment,6.121441686879336e-10,0.0006121441686879336,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1953,artificial sentiment,5.788500789805084e-10,0.0005788500789805084,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1954,artificial sentiment,5.161119309704532e-10,0.0005161119309704532,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1955,artificial sentiment,4.854404656029487e-10,0.00048544046560294873,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1956,artificial sentiment,0,0,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1957,artificial sentiment,2.9946950474979417e-10,0.00029946950474979417,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1958,artificial sentiment,3.048885865997164e-10,0.0003048885865997164,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1959,artificial sentiment,5.617359910559117e-10,0.0005617359910559117,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1960,artificial sentiment,2.645036134563128e-10,0.0002645036134563128,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1961,artificial sentiment,8.208174695489845e-10,0.0008208174695489845,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1962,artificial sentiment,8.707288223774867e-10,0.0008707288223774867,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1963,artificial sentiment,4.2217471185601596e-10,0.00042217471185601596,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1964,artificial sentiment,7.384693412326726e-10,0.0007384693412326726,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1965,artificial sentiment,4.208726700483112e-10,0.0004208726700483112,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1966,artificial sentiment,5.459399599061499e-10,0.0005459399599061499,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1967,artificial sentiment,5.437598149526934e-10,0.0005437598149526934,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1968,artificial sentiment,1.0011352857830502e-9,0.0010011352857830502,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1969,artificial sentiment,5.460273344581879e-10,0.0005460273344581879,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1970,artificial sentiment,1.0768115288328772e-9,0.0010768115288328772,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1971,artificial sentiment,4.1445002985085466e-10,0.00041445002985085466,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1972,artificial sentiment,3.6099168099212875e-10,0.00036099168099212875,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1973,artificial sentiment,5.844825734513392e-10,0.0005844825734513392,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1974,artificial sentiment,4.738130998660495e-10,0.00047381309986604947,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1975,artificial sentiment,1.1520596976399844e-10,0.00011520596976399844,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1976,artificial sentiment,3.2911279257419324e-10,0.00032911279257419324,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1977,artificial sentiment,5.445319750663202e-10,0.0005445319750663202,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1978,artificial sentiment,2.1081275614065476e-10,0.00021081275614065476,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1979,artificial sentiment,4.501553851898876e-10,0.0004501553851898876,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1980,artificial sentiment,3.765062706051481e-10,0.0003765062706051481,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1981,artificial sentiment,3.197980769087394e-10,0.0003197980769087394,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1982,artificial sentiment,3.792490488319089e-10,0.0003792490488319089,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1983,artificial sentiment,3.6378178247531423e-10,0.00036378178247531423,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1984,artificial sentiment,1.52085566362814e-10,0.000152085566362814,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1985,artificial sentiment,7.08820890871209e-10,0.000708820890871209,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1986,artificial sentiment,2.5395016645113344e-10,0.00025395016645113344,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1987,artificial sentiment,4.0762218600498556e-10,0.00040762218600498556,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1988,artificial sentiment,3.4889560684980836e-10,0.00034889560684980836,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1989,artificial sentiment,1.883253414325381e-10,0.0001883253414325381,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1990,artificial sentiment,3.674426318767132e-10,0.0003674426318767132,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1991,artificial sentiment,4.1684355966964404e-10,0.00041684355966964404,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1992,artificial sentiment,4.532008379687369e-10,0.0004532008379687369,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1993,artificial sentiment,3.16797477140085e-10,0.000316797477140085,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1994,artificial sentiment,5.015665105467804e-10,0.0005015665105467804,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1995,artificial sentiment,4.056612545877414e-10,0.0004056612545877414,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1996,artificial sentiment,2.3038779217721128e-10,0.00023038779217721128,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1997,artificial sentiment,3.742539333995154e-10,0.0003742539333995154,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1998,artificial sentiment,3.7733455249266967e-10,0.00037733455249266967,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1999,artificial sentiment,6.539407904071481e-10,0.0006539407904071481,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2000,artificial sentiment,7.615276187422637e-10,0.0007615276187422637,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2001,artificial sentiment,7.35497496240356e-10,0.000735497496240356,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2002,artificial sentiment,7.666155488195159e-10,0.0007666155488195159,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2003,artificial sentiment,1.7408197106050238e-10,0.00017408197106050238,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2004,artificial sentiment,6.22748019818431e-10,0.000622748019818431,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2005,artificial sentiment,7.898502407677199e-10,0.0007898502407677199,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2006,artificial sentiment,5.971871885890323e-10,0.0005971871885890323,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2007,artificial sentiment,7.652063982455104e-10,0.0007652063982455104,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2008,artificial sentiment,1.286658113386352e-9,0.001286658113386352,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2009,artificial sentiment,6.526888474134296e-10,0.0006526888474134296,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2010,artificial sentiment,5.976681372032999e-10,0.0005976681372032999,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2011,artificial sentiment,3.4182262576010203e-10,0.00034182262576010203,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2012,artificial sentiment,3.942096371556403e-10,0.0003942096371556403,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2013,artificial sentiment,3.8677469560433053e-10,0.00038677469560433053,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2014,artificial sentiment,8.953688901414125e-10,0.0008953688901414125,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2015,artificial sentiment,4.684426180290302e-10,0.0004684426180290302,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2016,artificial sentiment,7.643725097317144e-10,0.0007643725097317144,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2017,artificial sentiment,8.68747351834287e-10,0.000868747351834287,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2018,artificial sentiment,1.2321372810930598e-9,0.0012321372810930598,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2019,artificial sentiment,9.576496262653222e-10,0.0009576496262653222,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
2020,artificial sentiment,1.0412182227526046e-9,0.0010412182227526046,chart06_social_supplement,SOCIAL,performed feeling and sincerity pressure,Google Books Ngram Viewer,en,0,false
1800,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1801,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1802,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1803,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1804,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1805,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1806,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1807,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1808,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1809,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1810,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1811,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1812,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1813,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1814,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1815,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1816,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1817,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1818,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1819,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1820,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1821,artificial emotion,1.6436509930883858e-9,0.0016436509930883858,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1822,artificial emotion,4.216468063589218e-9,0.004216468063589218,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1823,artificial emotion,3.6279186321763746e-9,0.0036279186321763746,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1824,artificial emotion,1.1132103017175154e-9,0.0011132103017175154,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1825,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1826,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1827,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1828,artificial emotion,1.0623416590860302e-9,0.0010623416590860302,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1829,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1830,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1831,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1832,artificial emotion,6.142301667289018e-10,0.0006142301667289018,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1833,artificial emotion,1.62982904949871e-9,0.00162982904949871,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1834,artificial emotion,1.6159746873967151e-9,0.0016159746873967151,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1835,artificial emotion,3.6588201357545813e-9,0.0036588201357545813,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1836,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1837,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1838,artificial emotion,1.5209734582910528e-9,0.0015209734582910528,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1839,artificial emotion,2.150035260939376e-9,0.002150035260939376,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1840,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1841,artificial emotion,6.639129246366338e-10,0.0006639129246366338,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1842,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1843,artificial emotion,6.464187518595566e-10,0.0006464187518595566,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1844,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1845,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1846,artificial emotion,2.53600873634241e-9,0.00253600873634241,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1847,artificial emotion,5.044337725301773e-10,0.0005044337725301773,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1848,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1849,artificial emotion,5.276116210595205e-10,0.0005276116210595205,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1850,artificial emotion,1.4259908809322042e-9,0.0014259908809322042,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1851,artificial emotion,1.3503600460040843e-9,0.0013503600460040843,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1852,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1853,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1854,artificial emotion,8.004532592309488e-10,0.0008004532592309488,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1855,artificial emotion,8.198688394855935e-10,0.0008198688394855935,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1856,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1857,artificial emotion,4.2387407472865846e-10,0.00042387407472865846,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1858,artificial emotion,4.2400671862452555e-10,0.00042400671862452555,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1859,artificial emotion,1.2141361249717875e-9,0.0012141361249717875,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1860,artificial emotion,3.841593987363723e-10,0.0003841593987363723,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1861,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1862,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1863,artificial emotion,4.711332990403605e-10,0.0004711332990403605,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1864,artificial emotion,4.219875837652154e-10,0.0004219875837652154,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1865,artificial emotion,4.2536049682517785e-10,0.00042536049682517785,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1866,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1867,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1868,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1869,artificial emotion,3.532800163519312e-10,0.0003532800163519312,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1870,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1871,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1872,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1873,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1874,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1875,artificial emotion,3.0870828116036364e-9,0.0030870828116036364,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1876,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1877,artificial emotion,2.959941181046588e-10,0.0002959941181046588,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1878,artificial emotion,5.461971985809555e-10,0.0005461971985809555,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1879,artificial emotion,5.456223250988046e-10,0.0005456223250988046,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1880,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1881,artificial emotion,2.5947149984162365e-10,0.00025947149984162365,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1882,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1883,artificial emotion,2.3802804172134984e-10,0.00023802804172134984,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1884,artificial emotion,2.829162015771658e-9,0.002829162015771658,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1885,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1886,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1887,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1888,artificial emotion,3.97002680729841e-10,0.000397002680729841,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1889,artificial emotion,1.9004678386558282e-10,0.00019004678386558282,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1890,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1891,artificial emotion,3.2096547641913276e-9,0.0032096547641913276,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1892,artificial emotion,1.2868882626193567e-9,0.0012868882626193567,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1893,artificial emotion,6.936671931301319e-10,0.0006936671931301319,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1894,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1895,artificial emotion,9.591256677765614e-10,0.0009591256677765614,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1896,artificial emotion,1.1160234958396131e-9,0.0011160234958396131,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1897,artificial emotion,4.627609129226329e-10,0.0004627609129226329,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1898,artificial emotion,1.0515452675274872e-9,0.0010515452675274872,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1899,artificial emotion,1.2714891362008984e-9,0.0012714891362008984,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1900,artificial emotion,1.359515833243563e-9,0.001359515833243563,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1901,artificial emotion,5.198225738745066e-10,0.0005198225738745066,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1902,artificial emotion,1.0407998907169258e-9,0.0010407998907169258,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1903,artificial emotion,1.267768529045199e-10,0.0001267768529045199,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1904,artificial emotion,2.503730556213668e-10,0.0002503730556213668,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1905,artificial emotion,1.2109742375532306e-10,0.00012109742375532306,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1906,artificial emotion,1.1500134178277222e-10,0.00011500134178277222,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1907,artificial emotion,2.1276596040564755e-9,0.0021276596040564755,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1908,artificial emotion,2.2483298556252862e-10,0.00022483298556252862,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1909,artificial emotion,0,0,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1910,artificial emotion,2.0707849324175243e-10,0.00020707849324175243,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1911,artificial emotion,7.632777188071316e-10,0.0007632777188071316,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1912,artificial emotion,3.010204863151955e-10,0.0003010204863151955,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1913,artificial emotion,5.862274554679914e-10,0.0005862274554679914,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1914,artificial emotion,2.8421190401139995e-10,0.00028421190401139995,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1915,artificial emotion,9.963979641369747e-10,0.0009963979641369747,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1916,artificial emotion,1.9799099859607594e-10,0.00019799099859607594,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1917,artificial emotion,1.981163011421927e-10,0.0001981163011421927,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
1918,artificial emotion,6.45251074793407e-10,0.000645251074793407,chart06_social_supplement,SOCIAL,performed or simulated emotion,Google Books Ngram Viewer,en,0,false
